GeneNames,value1,value2,log2.Fold_change.,log2.Fold_change..normalized,p.value,q.value.Benjamini.et.al..1995.,q.value.Storey.et.al..2003.,Signature.p.value...0.001.,control.1.G,control.1.G.1,control.2.G,control.2.G.1,control.3.G,control.3.G.1,change
Nhlh2,3,33,-3.459431619,-3.516760198,3.41E-08,2.62E-07,2.61E-07,TRUE,2,32,2,2,2,2,Down
Nhlrc2,7,73,-3.382469637,-3.439798216,4.44E-16,4.49E-15,4.49E-15,TRUE,6,72,2,2,2,2,Down
Nif3l1,5,71,-3.827819025,-3.885147604,0,0,0,TRUE,4,52,2,20,2,2,Down
Nim1k,16,5855,-8.515453455,-8.572782034,0,0,0,TRUE,15,42,2,5814,2,2,Down
Nipa2,3,23,-2.938599455,-2.995928034,1.94E-05,0.000126307,0.00012553,TRUE,2,22,2,2,2,2,Down
Nipal1,3,338,-6.815916936,-6.873245515,0,0,0,TRUE,2,337,2,2,2,2,Down
Nipal3,3,25,-3.058893689,-3.116222268,5.56E-06,3.76E-05,3.74E-05,TRUE,2,24,2,2,2,2,Down
Nipal4,3,1124,-8.549463819,-8.606792398,0,0,0,TRUE,2,26,2,2,2,1099,Down
Nkrf,3,21,-2.807354922,-2.864683501,6.64E-05,0.000415934,0.000413598,TRUE,2,20,2,2,2,2,Down
Nlgn1,15,349,-4.540192631,-4.59752121,0,0,0,TRUE,14,51,2,299,2,2,Down
Nlrp4b,9,71,-2.979822118,-3.037150697,4.09E-14,3.88E-13,3.88E-13,TRUE,8,3,2,69,2,2,Down
Nmnat3,6,38,-2.662965013,-2.720293592,1.80E-07,1.34E-06,1.34E-06,TRUE,2,37,2,2,5,2,Down
Nmrk1,3,59,-4.297680549,-4.355009128,1.11E-15,1.11E-14,1.10E-14,TRUE,2,58,2,2,2,2,Down
Nmt1,3,23,-2.938599455,-2.995928034,1.94E-05,0.000126307,0.00012553,TRUE,2,22,2,2,2,2,Down
Nol10,10,66,-2.722466024,-2.779794603,3.43E-12,3.07E-11,3.07E-11,TRUE,3,11,8,40,2,18,Down
Nomo1,26,1234,-5.568686961,-5.62601554,0,0,0,TRUE,2,1233,25,2,2,2,Down
Nop53,7,154,-4.459431619,-4.516760198,0,0,0,TRUE,2,2,6,2,2,153,Down
Nop58,98,1669,-4.090058395,-4.147386974,0,0,0,TRUE,51,1631,48,2,2,39,Down
