GeneNames,value1,value2,log2.Fold_change.,log2.Fold_change..normalized,p.value,q.value.Benjamini.et.al..1995.,q.value.Storey.et.al..2003.,Signature.p.value...0.001.,Test.1.G,Test.2.G,Test.3.G,control.1.G,control.2.G,control.3.G,change,label,FDR
AC158556.2,27,3,3.169925001,3.290815171,8.92E-07,4.35E-06,4.31E-06,TRUE,1,25,1,1,1,1,Up,NA,4.47E-06
AC158769.1,44,3,3.874469118,3.995359288,9.84E-12,6.16E-11,6.14E-11,TRUE,31,12,1,1,1,1,Up,NA,6.33E-11
AC158777.1,42,3,3.807354922,3.928245092,3.85E-11,2.36E-10,2.35E-10,TRUE,13,28,1,1,1,1,Up,NA,2.42E-10
AC158954.1,33,3,3.459431619,3.580321788,1.68E-08,9.06E-08,9.02E-08,TRUE,20,12,1,1,1,1,Up,NA,9.32E-08
AC158972.3,38,3,3.662965013,3.783855182,5.83E-10,3.38E-09,3.36E-09,TRUE,35,2,1,1,1,1,Up,NA,3.47E-09
AC158986.1,159,3,5.727920455,5.848810624,0,0,0,TRUE,63,95,1,1,1,1,Up,NA,0
AC158988.1,446,3,7.215937399,7.336827569,0,0,0,TRUE,78,367,1,1,1,1,Up,NA,0
AC159002.2,141,3,5.554588852,5.675479021,0,0,0,TRUE,55,85,1,1,1,1,Up,NA,0
AC159006.2,111,15,2.887525271,3.00841544,0,0,0,TRUE,101,9,1,1,1,13,Up,NA,0
AC159193.1,940,3,8.291554446,8.412444616,0,0,0,TRUE,768,171,1,1,1,1,Up,NA,0
AC160335.1,36,3,3.584962501,3.70585267,2.25E-09,1.27E-08,1.26E-08,TRUE,14,21,1,1,1,1,Up,NA,1.30E-08
AC160411.1,21,3,2.807354922,2.928245092,4.29E-05,0.000185542,0.000184137,TRUE,1,19,1,1,1,1,Up,NA,0.000191319
AC160637.1,328,4,6.357552005,6.478442174,0,0,0,TRUE,3,1,324,2,1,1,Up,NA,0
