id,name,Test-1+G,Test-1-G,Test-2+G,Test-2-G,Test-3+G,Test-3-G,control-1+G,control-1-G,control-2+G,control-2-G,control-3+G,control-3-G
ENSMUSG00000106541,Gm43246,0,0,2,0,0,0,0,0,0,0,0,0
ENSMUSG00000106542,Gm43410,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106543,Gm43378,16,0,0,0,0,0,0,32,24,0,0,0
ENSMUSG00000106544,Gm44334,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106545,Gm33952,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106546,Igkv13-56-1,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106547,B230303O12Rik,11,0,0,0,0,0,0,7,0,0,0,0
ENSMUSG00000106548,Gm43390,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106549,Gm42653,0,0,4,0,0,0,0,0,2,0,0,0
ENSMUSG00000106550,Gm43646,0,0,0,0,0,0,0,0,0,0,0,3
ENSMUSG00000106551,Gm1969,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106552,Obox4-ps5,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106553,6720482G16Rik,5,0,0,0,0,0,2,0,0,0,0,0
ENSMUSG00000106554,Gm33474,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106555,Gm2479,0,0,2,0,0,0,0,4,0,0,0,0
ENSMUSG00000106556,Gm44375,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106557,Gm42442,3,0,0,0,0,32,0,0,0,0,0,0
ENSMUSG00000106558,Gm5552,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106559,Gm43680,8,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106560,Gm43119,98,0,50,0,0,0,0,0,434,0,0,0
ENSMUSG00000106561,Gm47293,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106562,Gm5981,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106563,Mir6962,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106564,Gm8969,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106565,Gm43582,0,0,0,0,0,0,0,4,0,0,0,0
ENSMUSG00000106566,Gm43836,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106567,2010309G21Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106568,Gm42814,1,0,4,0,0,0,0,6,0,0,0,0
ENSMUSG00000106569,Gm43036,0,0,0,0,0,0,0,0,0,0,0,0
