"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005178","GO:0005178","integrin binding","31/4410","154/28396",0.201298701298701,1.29616279412198,1.5801723251982,0.0744001112394476,0.174479365350719,0.115866630425927,"Actn1/Adam8/Anxa7/App/Cd177/Col3a1/Cxadr/Dst/Fbln5/Fermt2/Fgf2/Gfra1/Itga1/Itga11/Itgal/Itgb5/Itgbl1/Jam3/Kdr/Lcp1/Lyn/Mfge8/Pdia4/Ptk2/Ptpn2/S1pr3/Slc6a4/Tln1/Tln2/Tnr/Vtn",31
"GO:0008374","GO:0008374","O-acyltransferase activity","13/4410","55/28396",0.236363636363636,1.52194599051742,1.66134811123601,0.075400891623396,0.174745986748213,0.1160436858781,"Abhd5/Agpat4/Cpt1a/Cpt1c/Dgat2l6/Gpam/Gpat4/Mboat4/Mboat7/Pla2g4a/Porcn/Prdx6b/Soat1",13
"GO:0005230","GO:0005230","extracellular ligand-gated monoatomic ion channel activity","16/4410","71/28396",0.225352112676056,1.45104276452365,1.63163589914713,0.0758532353606155,0.174745986748213,0.1160436858781,"Chrnb1/Chrng/Gabra4/Gabra5/Gabrg2/Gabrg3/Gabrq/Glra1/Gria2/Gria3/Grid2/Grik1/Grik2/Grin1/Grin2b/P2rx4",16
"GO:0004143","GO:0004143","ATP-dependent diacylglycerol kinase activity","4/4410","11/28396",0.363636363636364,2.3414553700268,1.90804862537401,0.0772166505770355,0.174745986748213,0.1160436858781,"Agk/Dgke/Dgkg/Dgki",4
"GO:0005005","GO:0005005","transmembrane-ephrin receptor activity","4/4410","11/28396",0.363636363636364,2.3414553700268,1.90804862537401,0.0772166505770355,0.174745986748213,0.1160436858781,"Epha10/Epha3/Epha7/Ephb1",4
"GO:0005247","GO:0005247","voltage-gated chloride channel activity","4/4410","11/28396",0.363636363636364,2.3414553700268,1.90804862537401,0.0772166505770355,0.174745986748213,0.1160436858781,"Ano1/Clcn1/Clcn5/Clcn6",4
"GO:0008331","GO:0008331","high voltage-gated calcium channel activity","4/4410","11/28396",0.363636363636364,2.3414553700268,1.90804862537401,0.0772166505770355,0.174745986748213,0.1160436858781,"Cacna1c/Cacna1e/Cacnb2/Cacnb3",4
"GO:0008474","GO:0008474","palmitoyl-(protein) hydrolase activity","4/4410","11/28396",0.363636363636364,2.3414553700268,1.90804862537401,0.0772166505770355,0.174745986748213,0.1160436858781,"Abhd17b/Abhd17c/Cpt1c/Ppt1",4
"GO:0008503","GO:0008503","benzodiazepine receptor activity","4/4410","11/28396",0.363636363636364,2.3414553700268,1.90804862537401,0.0772166505770355,0.174745986748213,0.1160436858781,"Gabra4/Gabra5/Gabrg2/Gabrg3",4
"GO:0015250","GO:0015250","water channel activity","4/4410","11/28396",0.363636363636364,2.3414553700268,1.90804862537401,0.0772166505770355,0.174745986748213,0.1160436858781,"Aqp11/Aqp3/Aqp4/Aqp8",4
"GO:0034046","GO:0034046","poly(G) binding","4/4410","11/28396",0.363636363636364,2.3414553700268,1.90804862537401,0.0772166505770355,0.174745986748213,0.1160436858781,"Atxn1/Hnrnpdl/Patl2/Pnpt1",4
"GO:0042285","GO:0042285","xylosyltransferase activity","4/4410","11/28396",0.363636363636364,2.3414553700268,1.90804862537401,0.0772166505770355,0.174745986748213,0.1160436858781,"Gxylt1/Gxylt2/Poglut1/Xylt1",4
"GO:0042609","GO:0042609","CD4 receptor binding","4/4410","11/28396",0.363636363636364,2.3414553700268,1.90804862537401,0.0772166505770355,0.174745986748213,0.1160436858781,"Fyn/Il16/Lck/Plscr4",4
"GO:0043995","GO:0043995","histone H4K5 acetyltransferase activity","4/4410","11/28396",0.363636363636364,2.3414553700268,1.90804862537401,0.0772166505770355,0.174745986748213,0.1160436858781,"Ing3/Kat6a/Kat7/Kat8",4
