GeneNames,value1,value2,log2.Fold_change.,log2.Fold_change..normalized,p.value,q.value.Benjamini.et.al..1995.,q.value.Storey.et.al..2003.,Signature.p.value...0.001.,Test.1.G,Test.1.G.1,Test.2.G,Test.2.G.1,Test.3.G,Test.3.G.1,change,label
Grk5,25,3,3.058893689,3.022144034,1.18E-05,5.32E-05,5.28E-05,TRUE,8,1,16,1,1,1,Up,NA
Grm3,80,10,3,2.963250345,8.55E-15,5.83E-14,5.83E-14,TRUE,47,1,8,1,25,8,Up,NA
Grm5,85,5,4.087462841,4.050713186,0,0,0,TRUE,79,3,3,1,3,1,Up,NA
Grm7,301,3,6.648657176,6.611907521,0,0,0,TRUE,279,1,21,1,1,1,Up,NA
Grm8,87,5,4.121015401,4.084265746,0,0,0,TRUE,27,1,59,3,1,1,Up,NA
Grn,24,3,3,2.963250345,2.14E-05,9.43E-05,9.37E-05,TRUE,4,1,19,1,1,1,Up,NA
Grsf1,62,3,4.36923381,4.332484155,1.11E-15,7.79E-15,7.77E-15,TRUE,28,1,33,1,1,1,Up,NA
Grwd1,24,3,3,2.963250345,2.14E-05,9.43E-05,9.37E-05,TRUE,1,1,1,1,22,1,Up,NA
Grxcr1,304,3,6.662965013,6.626215358,0,0,0,TRUE,60,1,199,1,45,1,Up,NA
Gsap,2044,8,7.997179481,7.960429826,0,0,0,TRUE,436,1,487,3,1121,4,Up,NA
Gsdma,719,3,7.90488546,7.868135805,0,0,0,TRUE,365,1,353,1,1,1,Up,NA
Gsdmc2,73,3,4.604862058,4.568112403,0,0,0,TRUE,50,1,22,1,1,1,Up,NA
Gsdmc3,293,3,6.609794354,6.573044699,0,0,0,TRUE,138,1,154,1,1,1,Up,NA
Gsdmc4,316,3,6.718818247,6.682068593,0,0,0,TRUE,120,1,186,1,10,1,Up,NA
Gsdme,10494,61,7.426539737,7.389790082,0,0,0,TRUE,1793,1,1623,28,7078,32,Up,NA
Gsg1l2,380,3,6.984893108,6.948143453,0,0,0,TRUE,63,1,316,1,1,1,Up,NA
Gsk3b,1916,8,7.903881846,7.867132191,0,0,0,TRUE,1789,6,126,1,1,1,Up,NA
Gskip,60,3,4.321928095,4.28517844,3.89E-15,2.68E-14,2.68E-14,TRUE,36,1,23,1,1,1,Up,NA
Gsr,112,3,5.222392421,5.185642767,0,0,0,TRUE,59,1,52,1,1,1,Up,NA
Gsta3,342,3,6.832890014,6.796140359,0,0,0,TRUE,270,1,71,1,1,1,Up,NA
Gstcd,576,3,7.584962501,7.548212846,0,0,0,TRUE,546,1,29,1,1,1,Up,NA
Gsto2,36,3,3.584962501,3.548212846,1.48E-08,7.90E-08,7.87E-08,TRUE,19,1,16,1,1,1,Up,NA
Gstp.ps,75,3,4.64385619,4.607106535,0,0,0,TRUE,66,1,8,1,1,1,Up,NA
Gstp1,34,3,3.502500341,3.465750686,5.08E-08,2.63E-07,2.62E-07,TRUE,16,1,17,1,1,1,Up,NA
Gstt2,25,3,3.058893689,3.022144034,1.18E-05,5.32E-05,5.28E-05,TRUE,17,1,7,1,1,1,Up,NA
Gstt3,2136,3,9.475733431,9.438983776,0,0,0,TRUE,461,1,1674,1,1,1,Up,NA
Gstt4,299,3,6.639039173,6.602289519,0,0,0,TRUE,126,1,122,1,51,1,Up,NA
Gstz1,852,34,4.647246779,4.610497124,0,0,0,TRUE,216,1,549,32,87,1,Up,NA
Gsx2,34,3,3.502500341,3.465750686,5.08E-08,2.63E-07,2.62E-07,TRUE,1,1,32,1,1,1,Up,NA
Gtdc1,205,3,6.094517599,6.057767944,0,0,0,TRUE,119,1,85,1,1,1,Up,NA
Gtf2a1,679,3,7.822305264,7.785555609,0,0,0,TRUE,506,1,136,1,37,1,Up,NA
Gtf2a1l,451,5,6.495055528,6.458305874,0,0,0,TRUE,48,1,41,1,362,3,Up,NA
Gtf2b,20,3,2.736965594,2.700215939,0.000220982,0.000899733,0.000893043,TRUE,18,1,1,1,1,1,Up,NA
Gtf2e1,210,3,6.129283017,6.092533362,0,0,0,TRUE,41,1,168,1,1,1,Up,NA
Gtf2h4,238,3,6.309855263,6.273105608,0,0,0,TRUE,116,1,121,1,1,1,Up,NA
Gtf2i,1790,148,3.596290507,3.559540852,0,0,0,TRUE,929,2,860,145,1,1,Up,NA
Gtf2ird1,46,3,3.938599455,3.901849801,2.86E-11,1.73E-10,1.72E-10,TRUE,18,1,27,1,1,1,Up,NA
Gtf2ird2,267,3,6.475733431,6.438983776,0,0,0,TRUE,43,1,8,1,216,1,Up,NA
Gtf3c1,3295,106,4.958142295,4.921392641,0,0,0,TRUE,1119,1,2175,1,1,104,Up,NA
Gtf3c3,134,3,5.48112669,5.444377035,0,0,0,TRUE,30,1,37,1,67,1,Up,NA
Gtf3c5,29,3,3.273018494,3.23626884,1.07E-06,5.17E-06,5.14E-06,TRUE,1,1,27,1,1,1,Up,NA
Gtpbp10,174,3,5.857980995,5.82123134,0,0,0,TRUE,42,1,131,1,1,1,Up,NA
Gtpbp4,465,50,3.217230716,3.180481061,0,0,0,TRUE,282,48,182,1,1,1,Up,NA
Gtpbp8,154,3,5.68182404,5.645074385,0,0,0,TRUE,143,1,10,1,1,1,Up,NA
Gucy1a1,6937,3,11.17513367,11.13838401,0,0,0,TRUE,1177,1,5759,1,1,1,Up,NA
Gucy2e,34,3,3.502500341,3.465750686,5.08E-08,2.63E-07,2.62E-07,TRUE,13,1,20,1,1,1,Up,NA
Guf1,110,3,5.196397213,5.159647558,0,0,0,TRUE,74,1,35,1,1,1,Up,NA
Gusb,61,10,2.608809243,2.572059588,3.42E-10,1.98E-09,1.98E-09,TRUE,59,1,1,8,1,1,Up,NA
Gxylt1,1292,12,6.750427854,6.713678199,0,0,0,TRUE,561,1,730,10,1,1,Up,NA
Gxylt2,400,3,7.058893689,7.022144034,0,0,0,TRUE,394,1,5,1,1,1,Up,NA
